id,sourceGroup,source,proposedTarget,resolution,finalTarget,status,cutoverAction,risk,ownerBucket,reason
TAG-MANUAL-001,malformed_tag_route,/tag/abas-k%eb%ab%bf/,/search?tag=abas%20k%EB%AB%BF,intentional_404,,,Do not redirect malformed encoded tag route. Let it 404 or keep it retired.,low,SEO/content,Malformed encoded tag slugs are not worth preserving and should not be bulk-mapped blindly.
TAG-MANUAL-002,malformed_tag_route,/tag/abbas-k%eb%ab%bf/,/search?tag=abbas%20k%EB%AB%BF,intentional_404,,,Do not redirect malformed encoded tag route. Let it 404 or keep it retired.,low,SEO/content,Malformed encoded tag slugs are not worth preserving and should not be bulk-mapped blindly.
AUTHOR-001,author_archive,/author/admin/,/authors/admin,redirect_to_magazine,/magazine,302,Retire old WordPress author archive and redirect to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-002,author_archive,/author/frank/,/authors/frank,redirect_to_magazine,/magazine,302,Retire old WordPress author archive and redirect to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-003,author_archive,/author/frank/page/2/,/authors/frank,redirect_to_magazine,/magazine,302,Collapse old paginated author archive to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-004,author_archive,/author/frank/page/3/,/authors/frank,redirect_to_magazine,/magazine,302,Collapse old paginated author archive to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-005,author_archive,/author/gatwiri_c/,/authors/gatwiri_c,redirect_to_magazine,/magazine,302,Retire old WordPress author archive and redirect to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-006,author_archive,/author/hafare/,/authors/hafare,redirect_to_magazine,/magazine,302,Retire old WordPress author archive and redirect to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-007,author_archive,/author/hafare/page/2/,/authors/hafare,redirect_to_magazine,/magazine,302,Collapse old paginated author archive to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-008,author_archive,/author/james/,/authors/james,redirect_to_magazine,/magazine,302,Retire old WordPress author archive and redirect to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-009,author_archive,/author/james/page/2/,/authors/james,redirect_to_magazine,/magazine,302,Collapse old paginated author archive to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-010,author_archive,/author/james/page/3/,/authors/james,redirect_to_magazine,/magazine,302,Collapse old paginated author archive to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-011,author_archive,/author/k_matiri/,/authors/k_matiri,redirect_to_magazine,/magazine,302,Retire old WordPress author archive and redirect to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-012,author_archive,/author/k_matiri/page/2/,/authors/k_matiri,redirect_to_magazine,/magazine,302,Collapse old paginated author archive to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-013,author_archive,/author/kendi/,/authors/kendi,redirect_to_magazine,/magazine,302,Retire old WordPress author archive and redirect to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-014,author_archive,/author/kendi/page/2/,/authors/kendi,redirect_to_magazine,/magazine,302,Collapse old paginated author archive to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-015,author_archive,/author/kiuta/,/authors/kiuta,redirect_to_magazine,/magazine,302,Retire old WordPress author archive and redirect to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-016,author_archive,/author/michael/,/authors/michael,redirect_to_magazine,/magazine,302,Retire old WordPress author archive and redirect to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-017,author_archive,/author/swambi/,/authors/swambi,redirect_to_magazine,/magazine,302,Retire old WordPress author archive and redirect to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-018,author_archive,/author/timo/,/authors/timo,redirect_to_magazine,/magazine,302,Retire old WordPress author archive and redirect to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
